[2025-04-30 23:30:49] [INFO] 🚀 Начинаем синхронизацию...
[2025-04-30 23:30:49] [INFO] 🔍 Сканируем папку: Zidan
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\network\xmlrpc.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\network\xmlrpc.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\network\__init__.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\network\__init__.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\operations\check.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\operations\check.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\operations\freeze.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\operations\freeze.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\operations\prepare.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\operations\prepare.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\operations\__init__.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\operations\__init__.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\operations\build\build_tracker.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\operations\build\build_tracker.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\operations\build\metadata.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\operations\build\metadata.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\operations\build\metadata_editable.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\operations\build\metadata_editable.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\operations\build\metadata_legacy.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\operations\build\metadata_legacy.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\operations\build\wheel.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\operations\build\wheel.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\operations\build\wheel_editable.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\operations\build\wheel_editable.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\operations\build\wheel_legacy.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\operations\build\wheel_legacy.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\operations\build\__init__.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\operations\build\__init__.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\operations\install\editable_legacy.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\operations\install\editable_legacy.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\operations\install\__init__.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\operations\install\__init__.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\req\constructors.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\req\constructors.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\req\req_file.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\req\req_file.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\req\req_install.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\req\req_install.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\req\req_set.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\req\req_set.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\req\req_uninstall.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\req\req_uninstall.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\req\__init__.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\req\__init__.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\resolution\base.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\resolution\base.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\resolution\__init__.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\resolution\__init__.py
[2025-04-30 23:30:49] [INFO] ✅ Скопировано: \\KOMP\Users\Zidan\OOP\.venv\Lib\site-packages\pip\_internal\resolution\legacy\resolver.py → synced\Zidan\.venv\Lib\site-packages\pip\_internal\resolution\legacy\resolver.py
